school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
2011008-mz85,0,6,2,0,1,11,0,6,0,0
2041003-mz46,0,0,0,0,19,0,0,0,0,0
