school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4231058-tg158,52,36,41,22,8,10,15,16,16,13,11,17,8,0
4141009-tg109,39,30,20,19,6,5,21,44,7,6,4,13,4,0
1011019-ct19,2,5,2,0,0,3,24,24,55,7,45,22,6,0
4202034-tg234,21,26,6,3,12,4,28,30,21,14,8,16,1,0
4231036-tg136,16,15,35,28,10,40,1,3,2,4,6,2,4,0
4152031-tg231,15,11,13,10,2,3,9,4,7,31,6,14,5,0
4152012-tg212,13,13,11,5,10,8,6,11,16,7,9,14,2,0
3051002-rj2,8,5,7,8,17,19,2,6,11,21,5,3,0,0
3051005-rj5,1,6,5,13,7,13,17,4,2,14,7,9,6,0
4152002-tg202,28,20,1,2,3,1,3,6,9,6,17,7,1,0
4173074-tg74,15,18,18,4,1,2,11,2,2,4,5,9,0,0
3051032-rj32,6,2,13,16,16,3,2,1,1,6,3,3,16,0
4122100-tg300,13,11,12,9,3,2,12,3,5,4,5,4,1,0
4152038-tg238,15,7,20,7,0,2,3,0,3,5,3,0,1,0
3072032-rj82,5,8,4,0,2,4,1,5,7,10,1,15,3,0
4141035-tg135,6,5,4,2,2,0,2,6,11,7,5,8,0,0
4192081-tg281,7,7,2,0,0,0,3,20,7,1,1,6,1,0
3051036-rj36,1,0,2,0,0,0,1,0,0,0,1,37,13,0
3072026-rj76,0,0,0,2,14,2,0,0,0,0,15,15,0,0
4152092-tg292,1,3,7,2,1,1,9,10,4,4,2,3,0,0
3072030-rj80,0,0,1,0,0,11,0,0,0,1,7,23,0,0
1011009-ct9,1,0,0,0,0,1,1,0,2,0,38,0,0,0
3072050-rj100,0,0,2,9,0,22,0,0,0,5,0,0,0,0
4202004-tg204,8,2,9,12,2,0,0,1,1,0,1,2,0,0
1011017-ct17,1,0,0,0,0,0,9,1,23,0,0,1,1,0
3072023-rj73,3,0,0,0,0,0,0,0,0,2,10,20,0,0
1011023-ct23,2,0,27,1,0,0,0,0,0,0,0,0,0,0
1011004-ct4,13,15,1,0,0,0,0,0,0,0,0,0,0,0
4202058-tg258,8,5,1,0,2,1,1,0,3,3,2,2,0,0
4152082-tg282,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072003-rj53,0,0,0,0,0,0,0,0,3,0,0,22,0,0
4231084-tg184,0,0,0,0,0,0,2,3,0,15,0,3,0,0
4202032-tg232,2,0,0,0,0,2,0,2,2,1,2,11,1,0
3072031-rj81,4,0,0,0,0,0,0,0,0,8,0,7,0,0
1011020-ct20,0,1,0,0,0,0,2,0,0,4,12,0,0,0
3051008-rj8,0,0,0,0,0,7,1,0,0,0,8,3,0,0
4231057-tg157,0,0,7,2,5,2,0,0,0,0,0,0,1,0
3072040-rj90,0,0,8,0,0,0,0,0,4,3,2,0,0,0
3072024-rj74,1,3,1,4,0,3,0,0,0,1,0,4,0,0
2031025-mz25,0,17,0,0,0,0,0,0,0,0,0,0,0,0
1011008-ct8,2,2,6,0,0,0,1,1,0,0,1,0,0,0
1011006-ct6,0,0,0,0,0,0,3,0,7,0,0,1,0,0
3072008-rj58,0,0,0,0,0,1,0,0,0,5,0,0,0,0
4141038-tg138,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1011022-ct22,2,0,0,0,0,0,0,0,3,0,0,0,0,0
4231046-tg146,4,0,0,0,0,0,0,0,1,0,0,0,0,0
1011028-ct28,2,0,0,0,0,0,0,0,0,1,0,1,0,0
3051041-rj41,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4152008-tg208,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1011016-ct16,0,0,1,0,1,0,0,0,0,0,0,0,0,0
